#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20
#   TIMESTEP                     TIME                     MASS                     XMOM                     YMOM                     ZMOM              ANG. MOM. X              ANG. MOM. Y              ANG. MOM. Z              KIN. ENERGY              INT. ENERGY               GAS ENERGY     CENTER OF MASS X-LOC     CENTER OF MASS Y-LOC     CENTER OF MASS Z-LOC     CENTER OF MASS X-VEL     CENTER OF MASS Y-VEL     CENTER OF MASS Z-VEL      MAXIMUM TEMPERATURE          MAXIMUM DENSITY
          20   1.4024888932692766e-11   2.2664706040058195e-09   4.5048400814536502e-06  -1.5909651377862757e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.7123390619163295e-07   2.0684083385164968e+01   2.2442515630337442e+02   2.4510923968854033e+02   3.9992341171312153e-02   5.9999999999662074e-02   0.0000000000000000e+00   1.9876013717061576e+03  -7.0195710236627917e-01   0.0000000000000000e+00   3.3409487552630799e+06   2.0774335618894832e-06
          21   1.5672247124203490e-11   2.2664706040058195e-09   4.8626444285723635e-06  -1.8918052447288950e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.9276394839230507e-07   2.2809674827816242e+01   2.2229956486072055e+02   2.4510923968853686e+02   3.9992345217715310e-02   5.9999999998363820e-02   0.0000000000000000e+00   2.1454698860766157e+03  -8.3469216030654392e-01   0.0000000000000000e+00   3.1672912825756674e+06   2.1330563986296915e-06
          22   1.7484341134865287e-11   2.2664706040058195e-09   5.2428378253968065e-06  -2.2560927713372011e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.1564504316491691e-07   2.3953949403828304e+01   2.2115529028471866e+02   2.4510923968854206e+02   3.9992350209189800e-02   5.9999999996364475e-02   0.0000000000000000e+00   2.3132167768381719e+03  -9.9542114834832784e-01   0.0000000000000000e+00   3.0125824653614238e+06   2.1828414523639549e-06
          23   1.9477644546593262e-11   2.2664706040058195e-09   5.6363655787096986e-06  -2.6769017453755217e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.3932617259810324e-07   2.4953752649333865e+01   2.2015548703920422e+02   2.4510923968853970e+02   3.9992355692821883e-02   5.9999999993771522e-02   0.0000000000000000e+00   2.4868469808290647e+03  -1.1810882261805185e+00   0.0000000000000000e+00   2.9140989022154924e+06   2.2361741804371234e-06
          24   2.1670278299494037e-11   2.2664706040058199e-09   6.0380636043674238e-06  -3.1587239375473158e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.6349667853490592e-07   2.6044248736600629e+01   2.1906499095194232e+02   2.4510923968854431e+02   3.9992361684163841e-02   5.9999999990166065e-02   0.0000000000000000e+00   2.6640820285494065e+03  -1.3936752287739818e+00   0.0000000000000000e+00   2.8076604362875246e+06   2.2900491042659810e-06
          25   2.4082175427684890e-11   2.2664706040058195e-09   6.4416703576343798e-06  -3.6699016581556559e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.8777767429085187e-07   2.7087980886921240e+01   2.1802125880161984e+02   2.4510923968853916e+02   3.9992369090228200e-02   5.9999999985484484e-02   0.0000000000000000e+00   2.8421592348249314e+03  -1.6192143201281215e+00   0.0000000000000000e+00   2.6942834514007336e+06   2.3383015182398216e-06
          26   2.6735262268694828e-11   2.2664706040058195e-09   6.8556882007710370e-06  -4.2193957549779349e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.1268250870768613e-07   2.7561329536000933e+01   2.1754791015253895e+02   2.4510923968854414e+02   3.9992378842120348e-02   5.9999999979348351e-02   0.0000000000000000e+00   3.0248299663159601e+03  -1.8616591574232042e+00   0.0000000000000000e+00   2.5660584874674743e+06   2.3668282009705246e-06
          27   2.9653657793805756e-11   2.2664706040058195e-09   7.2788825944560485e-06  -4.8445716360910553e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.3813681190377013e-07   2.7960945536029683e+01   2.1714829415251072e+02   2.4510923968853479e+02   3.9992389574099250e-02   5.9999999971486091e-02   0.0000000000000000e+00   3.2115495262065879e+03  -2.1374959055408143e+00   0.0000000000000000e+00   2.4188128827267014e+06   2.3558749638178295e-06
          28   3.2863892871427778e-11   2.2664706040058195e-09   7.7070205375961387e-06  -5.5269996432089195e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.6387582775298259e-07   2.8469009971114438e+01   2.1664022971742457e+02   2.4510923968854101e+02   3.9992401133419668e-02   5.9999999961772486e-02   0.0000000000000000e+00   3.4004502524650215e+03  -2.4385931295293903e+00   0.0000000000000000e+00   2.2392483178153024e+06   2.4392625013137439e-06
          29   3.6395151456812003e-11   2.2664706040058195e-09   8.1395529655963395e-06  -6.2430556471343085e-09   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.8987565861209360e-07   2.9016569307768105e+01   2.1609267038077215e+02   2.4510923968854269e+02   3.9992415123441427e-02   5.9999999949830449e-02   0.0000000000000000e+00   3.5912898897564701e+03  -2.7545275178509567e+00   0.0000000000000000e+00   2.0458785520371329e+06   2.5185942789990242e-06
