#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20
#   TIMESTEP                     TIME                     MASS                     XMOM                     YMOM                     ZMOM              ANG. MOM. X              ANG. MOM. Y              ANG. MOM. Z              KIN. ENERGY              INT. ENERGY               GAS ENERGY     CENTER OF MASS X-LOC     CENTER OF MASS Y-LOC     CENTER OF MASS Z-LOC     CENTER OF MASS X-VEL     CENTER OF MASS Y-VEL     CENTER OF MASS Z-VEL      MAXIMUM TEMPERATURE          MAXIMUM DENSITY
          50   2.8500546466374430e-10   2.2664706040058187e-09   2.2742227680681298e-05  -3.8845851646227877e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.3681897178351844e-06   3.4657410734647605e+01   2.1045182895389550e+02   2.4510923968854226e+02   3.9994451915796772e-02   5.9999996872766741e-02   0.0000000000000000e+00   1.0034203682362391e+04  -1.7139358250475745e+01   0.0000000000000000e+00   8.6876440671669191e+05   3.7741313992527661e-06
          51   3.1375088042836020e-10   2.2664706040058195e-09   2.3858105890726215e-05  -4.1360512784233685e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.4353199752699761e-06   3.4830851497507787e+01   2.1027838819102496e+02   2.4510923968854286e+02   3.9994774691068477e-02   5.9999996313688374e-02   0.0000000000000000e+00   1.0526545479371660e+04  -1.8248863546313828e+01   0.0000000000000000e+00   8.0568198429608555e+05   3.7572370489008199e-06
          52   3.4537083776943772e-10   2.2664706040058195e-09   2.5011632052231169e-05  -4.3914310951206331e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.5047058032109150e-06   3.4826348656840814e+01   2.1028289103169453e+02   2.4510923968853686e+02   3.9995149026652035e-02   5.9999995670718412e-02   0.0000000000000000e+00   1.1035498103538142e+04  -1.9375636672097588e+01   0.0000000000000000e+00   7.6389082192776608e+05   3.8802827818352702e-06
          53   3.8015279084462295e-10   2.2664706040058195e-09   2.6214686740821443e-05  -4.6547462693323250e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.5770701839048998e-06   3.5101364122326110e+01   2.1000787556621577e+02   2.4510923968853345e+02   3.9995573539471876e-02   5.9999994919103627e-02   0.0000000000000000e+00   1.1566303438698442e+04  -2.0537421756564608e+01   0.0000000000000000e+00   7.3704293194197759e+05   3.9596230083737658e-06
          54   4.1841293922732674e-10   2.2664706040058199e-09   2.7483205983979972e-05  -4.9250498399435381e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.6533789807503512e-06   3.5465360118201758e+01   2.0964387957033759e+02   2.4510923968854155e+02   3.9996059179108839e-02   5.9999994043717038e-02   0.0000000000000000e+00   1.2125992693399787e+04  -2.1730040668689348e+01   0.0000000000000000e+00   7.2393746445935161e+05   4.0117868939351778e-06
          55   4.6049910244830090e-10   2.2664706040058195e-09   2.8819531024242610e-05  -5.1974894948745504e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.7337721960326175e-06   3.5598242769322965e+01   2.0951099691921971e+02   2.4510923968854513e+02   3.9996623256123784e-02   5.9999993035530344e-02   0.0000000000000000e+00   1.2715598858112793e+04  -2.2932084297446309e+01   0.0000000000000000e+00   6.9250932320884208e+05   4.0392923518102704e-06
          56   5.0679388199137247e-10   2.2664706040058203e-09   3.0213225369188772e-05  -5.4752087088777799e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.8176114508289524e-06   3.5625135499422072e+01   2.0948410418911470e+02   2.4510923968854161e+02   3.9997274978382479e-02   5.9999991865044441e-02   0.0000000000000000e+00   1.3330517199644732e+04  -2.4157422113486717e+01   0.0000000000000000e+00   6.5962899998148321e+05   4.1337030667273004e-06
          57   5.5771813948875120e-10   2.2664706040058195e-09   3.1669105013338118e-05  -5.7593024253449833e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.9051913698830066e-06   3.5725873077366607e+01   2.0938336661116489e+02   2.4510923968853754e+02   3.9998022491670476e-02   5.9999990518955541e-02   0.0000000000000000e+00   1.3972872605259168e+04  -2.5410885167298623e+01   0.0000000000000000e+00   6.3668005656902853e+05   4.2192178487796588e-06
          58   6.1373482273586780e-10   2.2664706040058199e-09   3.3199506323042384e-05  -6.0426683866755716e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.9972582936793426e-06   3.5847275370288386e+01   2.0926196431825144e+02   2.4510923968853251e+02   3.9999009544017146e-02   5.9999988963071328e-02   0.0000000000000000e+00   1.4648108060331646e+04  -2.6661137258941721e+01   0.0000000000000000e+00   6.2474755627210438e+05   4.2814183544484740e-06
          59   6.7535317430769608e-10   2.2664706040058203e-09   3.4803512493189635e-05  -6.3273333196523810e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.0937510190690836e-06   3.5972605561794325e+01   2.0913663412675021e+02   2.4510923968854451e+02   3.9999995976294778e-02   5.9999987185010616e-02   0.0000000000000000e+00   1.5355819057029456e+04  -2.7917120603590817e+01   0.0000000000000000e+00   5.9264789611742110e+05   4.3401801900642609e-06
          60   7.4313336103670719e-10   2.2664706040058203e-09   3.6478192235352615e-05  -6.6167150118098880e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.1944907289826270e-06   3.6099526366954933e+01   2.0900971332158113e+02   2.4510923968853535e+02   4.0001129825178693e-02   5.9999985144867533e-02   0.0000000000000000e+00   1.6094712267999457e+04  -2.9193914980036936e+01   0.0000000000000000e+00   5.6927540578704455e+05   4.3945092537131937e-06
          61   8.1576314639045590e-10   2.2664706040058212e-09   3.8192541829106480e-05  -6.9009809816691568e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.2976215600862086e-06   3.6234021967950753e+01   2.0887521772059242e+02   2.4510923968854235e+02   4.0002398556549530e-02   5.9999982873682835e-02   0.0000000000000000e+00   1.6851108398054646e+04  -3.0448138041023682e+01   0.0000000000000000e+00   5.5648021358790493e+05   4.4494803265736068e-06
          62   8.8872739902036689e-10   2.2664706040058212e-09   3.9840868353960512e-05  -7.1625494286189589e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.3967801120124043e-06   3.6340363736213824e+01   2.0876887595232836e+02   2.4510923968853081e+02   4.0003728261874719e-02   5.9999980510446985e-02   0.0000000000000000e+00   1.7578374183871914e+04  -3.1602216309179905e+01   0.0000000000000000e+00   5.3382760396594543e+05   4.4788414843594295e-06
          63   9.6364701232977859e-10   2.2664706040058208e-09   4.1459255930600589e-05  -7.4150577539126837e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.4941321890264098e-06   3.6429179111331266e+01   2.0868006057721180e+02   2.4510923968854337e+02   4.0005148653463177e-02   5.9999977997792608e-02   0.0000000000000000e+00   1.8292430467584443e+04  -3.2716319994652089e+01   0.0000000000000000e+00   5.1500558415215375e+05   4.5364064899619402e-06
          64   1.0401932824121534e-09   2.2664706040058191e-09   4.3049757011052653e-05  -7.6571356737254154e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.5898120993460385e-06   3.6506056533221830e+01   2.0860318315531549e+02   2.4510923968853800e+02   4.0006668899255166e-02   5.9999975358886272e-02   0.0000000000000000e+00   1.8994182821063459e+04  -3.3784403204665416e+01   0.0000000000000000e+00   5.0146331777821929e+05   4.6078002882718886e-06
          65   1.1173295884703978e-09   2.2664706040058224e-09   4.4595307346603316e-05  -7.8886164526991019e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.6827858005368835e-06   3.6560522413308263e+01   2.0854871727523107e+02   2.4510923968853726e+02   4.0008241202921555e-02   5.9999972620570462e-02   0.0000000000000000e+00   1.9676102248043433e+04  -3.4805730278418544e+01   0.0000000000000000e+00   4.8756004793271783e+05   4.6501456642293479e-06
          66   1.1957490314618049e-09   2.2664706040058195e-09   4.6110788787697862e-05  -8.1139977060956283e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.7739490494283672e-06   3.6605625162227902e+01   2.0850361452631205e+02   2.4510923968853615e+02   4.0009893232775762e-02   5.9999969761670310e-02   0.0000000000000000e+00   2.0344754838734923e+04  -3.5800145352667428e+01   0.0000000000000000e+00   4.7501053798374999e+05   4.6992461751670901e-06
          67   1.2755806607712751e-09   2.2664706040058191e-09   4.7602379764148672e-05  -8.3359776064890183e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.8636747309690034e-06   3.6653710283310858e+01   2.0845552940523240e+02   2.4510923968853470e+02   4.0011627718735190e-02   5.9999966772971564e-02   0.0000000000000000e+00   2.1002866606791627e+04  -3.6779553159682699e+01   0.0000000000000000e+00   4.6302922469265264e+05   4.7245420589912167e-06
          68   1.3562279109689473e-09   2.2664706040058199e-09   4.9062116285091499e-05  -8.5528434514991277e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -2.9514840504474371e-06   3.6708193398351163e+01   2.0840104629018850e+02   2.4510923968854161e+02   4.0013431908303559e-02   5.9999963677955334e-02   0.0000000000000000e+00   2.1646923722892247e+04  -3.7736397005911336e+01   0.0000000000000000e+00   4.5154643316443043e+05   4.7506857944238994e-06
          69   1.4378690857951994e-09   2.2664706040058195e-09   5.0495027108402691e-05  -8.7659465850032156e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.0376784434084833e-06   3.6785509295528811e+01   2.0832373039301683e+02   2.4510923968853388e+02   4.0015308299211301e-02   5.9999960472500051e-02   0.0000000000000000e+00   2.2279144948607081e+04  -3.8676639218307315e+01   0.0000000000000000e+00   4.4155663346767862e+05   4.7532045883122763e-06
          70   1.5206276107152689e-09   2.2664706040058170e-09   5.1905360817167308e-05  -8.9756255325995067e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.1225135638731050e-06   3.6890877384119158e+01   2.0821836230441789e+02   2.4510923968852603e+02   4.0017259712275814e-02   5.9999957147387283e-02   0.0000000000000000e+00   2.2901404820970751e+04  -3.9601773421352831e+01   0.0000000000000000e+00   4.3198279489906697e+05   4.7692613856260228e-06
          71   1.6043536178169359e-09   2.2664706040058203e-09   5.3292983040797172e-05  -9.1796606157013887e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.2059822020354474e-06   3.7004942102356750e+01   2.0810429758619085e+02   2.4510923968853453e+02   4.0019283690753839e-02   5.9999953710023042e-02   0.0000000000000000e+00   2.3513644053713178e+04  -4.0502006068276430e+01   0.0000000000000000e+00   4.2233443912849820e+05   4.8133576172974647e-06
          72   1.6890224585549099e-09   2.2664706040058195e-09   5.4660333475697226e-05  -9.3775555273423181e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.2882320179035797e-06   3.7056010325513796e+01   2.0805322936301229e+02   2.4510923968854141e+02   4.0021386043154285e-02   5.9999950153590255e-02   0.0000000000000000e+00   2.4116939076592971e+04  -4.1375147380108004e+01   0.0000000000000000e+00   4.1401237894766143e+05   4.8602820841229541e-06
          73   1.7746141287781762e-09   2.2664706040058187e-09   5.6009533882030549e-05  -9.5724686856777060e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.3693931651185202e-06   3.6990512048217617e+01   2.0811872764032438e+02   2.4510923968854252e+02   4.0023576230395527e-02   5.9999946494051881e-02   0.0000000000000000e+00   2.4712226041245736e+04  -4.2235132759979670e+01   0.0000000000000000e+00   4.0671631535245094e+05   4.8568873554173052e-06
          74   1.8610467447356256e-09   2.2664706040058203e-09   5.7338356151219592e-05  -9.7646968579667901e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.4493268605764633e-06   3.6952363441491705e+01   2.0815687624704219e+02   2.4510923968853626e+02   4.0025837384629816e-02   5.9999942727312267e-02   0.0000000000000000e+00   2.5298521873558941e+04  -4.3083271588470666e+01   0.0000000000000000e+00   3.9936146502083295e+05   4.8764544493484381e-06
          75   1.9483099342258062e-09   2.2664706040058224e-09   5.8647321307096715e-05  -9.9542725210741362e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.5280637192432983e-06   3.6973338910495777e+01   2.0813590077804821e+02   2.4510923968853518e+02   4.0028163921409919e-02   5.9999938857003360e-02   0.0000000000000000e+00   2.5876056456872560e+04  -4.3919707158260429e+01   0.0000000000000000e+00   3.9176404518559232e+05   4.8733707368615803e-06
          76   2.0364566233273295e-09   2.2664706040058175e-09   5.9938366900231728e-05  -1.0141525384024125e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.6057211984014518e-06   3.7065775536837961e+01   2.0804346415170389e+02   2.4510923968853672e+02   4.0031600643024121e-02   5.9999934870310759e-02   0.0000000000000000e+00   2.6445684666853893e+04  -4.4745894193817193e+01   0.0000000000000000e+00   3.8471274647503620e+05   4.8896960076478857e-06
          77   2.1254808450192410e-09   2.2664706040058175e-09   6.1213344230602679e-05  -1.0326157372174013e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.6824115049036117e-06   3.7181548639072368e+01   2.0792769104946831e+02   2.4510923968854445e+02   4.0034062607754002e-02   5.9999930770226459e-02   0.0000000000000000e+00   2.7008223324146657e+04  -4.5560517546194070e+01   0.0000000000000000e+00   3.7854860323354945e+05   4.9381050252036751e-06
          78   2.2152431440792580e-09   2.2664706040058166e-09   6.2474493643358055e-05  -1.0507112386268598e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.7582747089431062e-06   3.7142688947979920e+01   2.0796655074056821e+02   2.4510923968855366e+02   4.0036614348262223e-02   5.9999926566214570e-02   0.0000000000000000e+00   2.7564660901817599e+04  -4.6358917550918449e+01   0.0000000000000000e+00   3.7266707149972749e+05   4.9575183039745042e-06
          79   2.3057450160054170e-09   2.2664706040058183e-09   6.3720161093147969e-05  -1.0685505566760597e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.8332049265511672e-06   3.7074065259927757e+01   2.0803517442860900e+02   2.4510923968854843e+02   4.0039243781107417e-02   5.9999922261449422e-02   0.0000000000000000e+00   2.8114267610851570e+04  -4.7146014370867022e+01   0.0000000000000000e+00   3.6695420251751220e+05   4.9470315506911269e-06
          80   2.3970157809666919e-09   2.2664706040058187e-09   6.4949657062977924e-05  -1.0861790600431182e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.9071594645273364e-06   3.7094968082695374e+01   2.0801427160584191e+02   2.4510923968853757e+02   4.0041932389663838e-02   5.9999917848094234e-02   0.0000000000000000e+00   2.8656739226259640e+04  -4.7923809738514912e+01   0.0000000000000000e+00   3.6147346207014547e+05   4.9157603663837491e-06
          81   2.4890415689764460e-09   2.2664706040058195e-09   6.6164071993037304e-05  -1.1036789868258630e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -3.9802049865074224e-06   3.7209864756734959e+01   2.0789937493180634e+02   2.4510923968854144e+02   4.0044678928713634e-02   5.9999913325742324e-02   0.0000000000000000e+00   2.9192556866211806e+04  -4.8695932119092653e+01   0.0000000000000000e+00   3.5608606703008164e+05   4.9631930839442365e-06
          82   2.5817849530456932e-09   2.2664706040058224e-09   6.7366401830758031e-05  -1.1209317291843126e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.0525262948951669e-06   3.7250749044263458e+01   2.0785849064427748e+02   2.4510923968854837e+02   4.0047504379770574e-02   5.9999908693262376e-02   0.0000000000000000e+00   2.9723042386560319e+04  -4.9457148361119138e+01   0.0000000000000000e+00   3.5088658797849133e+05   4.9822773060233080e-06
          83   2.6752168276784588e-09   2.2664706040058183e-09   6.8557797591250317e-05  -1.1378596198952889e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.1241923210015906e-06   3.7150335463167295e+01   2.0795890422536604e+02   2.4510923968853297e+02   4.0050426296637277e-02   5.9999903963157540e-02   0.0000000000000000e+00   3.0248703632016892e+04  -5.0204031673042955e+01   0.0000000000000000e+00   3.4602407140864554e+05   4.9636866780292647e-06
          84   2.7693403130908727e-09   2.2664706040058199e-09   6.9734522914247947e-05  -1.1546781981438481e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.1949716295518428e-06   3.7155123067830715e+01   2.0795411662071120e+02   2.4510923968854087e+02   4.0053415298636617e-02   5.9999899127557176e-02   0.0000000000000000e+00   3.0767892065750737e+04  -5.0946091959147381e+01   0.0000000000000000e+00   3.4146580848604412e+05   4.9296168737278096e-06
          85   2.8641441108714032e-09   2.2664706040058150e-09   7.0897758235393765e-05  -1.1714081831909526e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.2649373585414478e-06   3.7269356829826975e+01   2.0783988285871879e+02   2.4510923968854229e+02   4.0056441412505681e-02   5.9999894181703955e-02   0.0000000000000000e+00   3.1281128513243169e+04  -5.1684243383548740e+01   0.0000000000000000e+00   3.3699156788297783e+05   4.9783955278576658e-06
          86   2.9596077290464426e-09   2.2664706040058187e-09   7.2051615761350348e-05  -1.1879161973754022e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.3343439066403603e-06   3.7265986845001933e+01   2.0784325284354088e+02   2.4510923968853535e+02   4.0059555764426241e-02   5.9999889126348356e-02   0.0000000000000000e+00   3.1790227340255136e+04  -5.2412601128637995e+01   0.0000000000000000e+00   3.3260947262978047e+05   4.9988408609308205e-06
          87   3.0557083548383464e-09   2.2664706040058241e-09   7.3195167955994361e-05  -1.2042455532038870e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.4031302383910175e-06   3.7181783493404659e+01   2.0792745619513852e+02   2.4510923968852865e+02   4.0062757667749353e-02   5.9999883975438602e-02   0.0000000000000000e+00   3.2294779304274743e+04  -5.3133076205597789e+01   0.0000000000000000e+00   3.2836790309172240e+05   4.9808616086099667e-06
          88   3.1524416548691156e-09   2.2664706040058195e-09   7.4325365765764157e-05  -1.2205847858048815e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.4711092601626561e-06   3.7229809379102861e+01   2.0787943030942949e+02   2.4510923968852529e+02   4.0066003366505690e-02   5.9999878717818582e-02   0.0000000000000000e+00   3.2793439118248236e+04  -5.3853987060215474e+01   0.0000000000000000e+00   3.2434974218725058e+05   4.9878966556943760e-06
          89   3.2498037599222511e-09   2.2664706040058179e-09   7.5444625471742587e-05  -1.2369503748135704e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.5384302458098854e-06   3.7332878327196035e+01   2.0777636136133657e+02   2.4510923968853353e+02   4.0069305443397006e-02   5.9999873348331137e-02   0.0000000000000000e+00   3.3287272880751174e+04  -5.4576060798112842e+01   0.0000000000000000e+00   3.2058360256713576e+05   5.0256430950256896e-06
          90   3.3477826735410852e-09   2.2664706040058141e-09   7.6557167146763260e-05  -1.2530227807905083e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.6053530398463456e-06   3.7232856257445050e+01   2.0787638343110206e+02   2.4510923968854217e+02   4.0072719570093986e-02   5.9999867879953324e-02   0.0000000000000000e+00   3.3778142549678028e+04  -5.5285198871579716e+01   0.0000000000000000e+00   3.1698185799698881e+05   5.0186598482188445e-06
          91   3.4463571090205936e-09   2.2664706040058137e-09   7.7657865818752663e-05  -1.2691067428674582e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.6715580453878010e-06   3.7222160876527703e+01   2.0788707881200639e+02   2.4510923968853399e+02   4.0076184075091628e-02   5.9999862312383440e-02   0.0000000000000000e+00   3.4263786912346586e+04  -5.5994846817091251e+01   0.0000000000000000e+00   3.1344614974789711e+05   4.9926284901908103e-06
          92   3.5455069628010339e-09   2.2664706040058208e-09   7.8747238478368668e-05  -1.2852619079147820e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.7370798747975073e-06   3.7334221926496689e+01   2.0777501776203141e+02   2.4510923968852887e+02   4.0079689299113215e-02   5.9999856634002570e-02   0.0000000000000000e+00   3.4744434072601114e+04  -5.6707636341860145e+01   0.0000000000000000e+00   3.0996455488621013e+05   5.0420457767195251e-06
          93   3.6452239158381558e-09   2.2664706040058117e-09   7.9830313768951522e-05  -1.3011755797055744e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.8022298687052192e-06   3.7273073994851558e+01   2.0783616569369713e+02   2.4510923968853402e+02   4.0083300207575889e-02   5.9999850851623772e-02   0.0000000000000000e+00   3.5222302741477259e+04  -5.7409770830728938e+01   0.0000000000000000e+00   3.0659494413904747e+05   5.0498960150180098e-06
          94   3.7455060256020148e-09   2.2664706040058100e-09   8.0903513177408819e-05  -1.3170004941538487e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.8667811564610387e-06   3.7229996203582310e+01   2.0787924348496750e+02   2.4510923968853700e+02   4.0086976413743973e-02   5.9999844974334096e-02   0.0000000000000000e+00   3.5695814026627202e+04  -5.8107989215750386e+01   0.0000000000000000e+00   3.0335652294060623e+05   5.0167972527559377e-06
          95   3.8463488218240964e-09   2.2664706040058175e-09   8.1965832460066069e-05  -1.3329087404589615e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.9306753663564957e-06   3.7331721130669905e+01   2.0777751855787301e+02   2.4510923968855320e+02   4.0090686212509968e-02   5.9999838984936632e-02   0.0000000000000000e+00   3.6164524841044746e+04  -5.8809884324250440e+01   0.0000000000000000e+00   3.0024714856768813e+05   5.0647592199323653e-06
          96   3.9477390885705530e-09   2.2664706040058154e-09   8.3022232114916676e-05  -1.3485393731563940e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -4.9942200072166327e-06   3.7291210730402433e+01   2.0781802895815105e+02   2.4510923968854522e+02   4.0094625322371971e-02   5.9999832888694898e-02   0.0000000000000000e+00   3.6630623829041135e+04  -5.9499530714095854e+01   0.0000000000000000e+00   2.9724354972910858e+05   5.0748869625131955e-06
          97   4.0496656466835202e-09   2.2664706040058311e-09   8.4069986141346219e-05  -1.3639632194181096e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.0572406226409412e-06   3.7239540087944562e+01   2.0786969960059022e+02   2.4510923968853703e+02   4.0098507540146024e-02   5.9999826701281810e-02   0.0000000000000000e+00   3.7092908239250180e+04  -6.0180053383767621e+01   0.0000000000000000e+00   2.9425906158505182e+05   5.0431957538343719e-06
          98   4.1521191870133799e-09   2.2664706040058146e-09   8.5107360804136239e-05  -1.3794448544575217e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.1196340201385122e-06   3.7338644223082213e+01   2.0777059546545041e+02   2.4510923968853464e+02   4.0102417820211712e-02   5.9999820401963590e-02   0.0000000000000000e+00   3.7550613122321309e+04  -6.0863125778885362e+01   0.0000000000000000e+00   2.9131021351326478e+05   5.0894856233174385e-06
          99   4.2550911731438733e-09   2.2664706040058212e-09   8.6139570461289639e-05  -1.3946305173492216e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.1817238368665346e-06   3.7287927840289264e+01   2.0782131184825022e+02   2.4510923968853638e+02   4.0106433117168751e-02   5.9999813999122631e-02   0.0000000000000000e+00   3.8006039129315970e+04  -6.1533139449693905e+01   0.0000000000000000e+00   2.8845799776442209e+05   5.0943295259485108e-06
         100   4.3585736342053759e-09   2.2664706040058162e-09   8.7163355648253488e-05  -1.4096579739168172e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.2433018886957676e-06   3.7248366668451212e+01   2.0786087302008099e+02   2.4510923968852825e+02   4.0110513180688881e-02   5.9999807506125998e-02   0.0000000000000000e+00   3.8457748136772134e+04  -6.2196172825950306e+01   0.0000000000000000e+00   2.8574869090210309e+05   5.0741044727212159e-06
         101   4.4625592939578461e-09   2.2664706040058245e-09   8.8177725163373000e-05  -1.4247979173255726e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.3043117140662788e-06   3.7350050112738444e+01   2.0775918957580086e+02   2.4510923968853322e+02   4.0114620167263935e-02   5.9999800900675956e-02   0.0000000000000000e+00   3.8905302812013171e+04  -6.2864169286261394e+01   0.0000000000000000e+00   2.8319448111862730e+05   5.1154595013625834e-06
         102   4.5670426665214843e-09   2.2664706040058154e-09   8.9187902448055166e-05  -1.4395863984765307e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.3650763768490027e-06   3.7269326002248533e+01   2.0783991368628688e+02   2.4510923968854200e+02   4.0118845238741534e-02   5.9999794198570308e-02   0.0000000000000000e+00   3.9351007813832788e+04  -6.3516658717398343e+01   0.0000000000000000e+00   2.8078464834888018e+05   5.1037745449069598e-06
         103   4.6720193193224204e-09   2.2664706040058228e-09   9.0189189811228868e-05  -1.4543289818538815e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.4252993867301556e-06   3.7263690410954879e+01   2.0784554927758029e+02   2.4510923968854587e+02   4.0123115249232108e-02   5.9999787403330805e-02   0.0000000000000000e+00   3.9792790452179703e+04  -6.4167123071592471e+01   0.0000000000000000e+00   2.7846877443444519e+05   5.1038728043234205e-06
         104   4.7774804770430535e-09   2.2664706040058133e-09   9.1182548246318700e-05  -1.4691529742185704e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.4850455515468561e-06   3.7352139673470177e+01   2.0775710001507542e+02   2.4510923968851833e+02   4.0127421712778305e-02   5.9999780493643136e-02   0.0000000000000000e+00   4.0231074731417444e+04  -6.4821179309449462e+01   0.0000000000000000e+00   2.7618546933185682e+05   5.1353121304220837e-06
         105   4.8834168142294590e-09   2.2664706040058175e-09   9.2172171153368033e-05  -1.4835764398797191e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.5445725698591033e-06   3.7247552965857345e+01   2.0786168672267817e+02   2.4510923968853464e+02   4.0131854708080221e-02   5.9999773497809807e-02   0.0000000000000000e+00   4.0667710841014487e+04  -6.5457563722980069e+01   0.0000000000000000e+00   2.7387302698817209e+05   5.1039167014373772e-06
         106   4.9898197049773277e-09   2.2664706040058179e-09   9.3152281625830504e-05  -1.4980942083974847e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.6035199625001611e-06   3.7292435078976467e+01   2.0781680460956096e+02   2.4510923968855656e+02   4.0136306095196847e-02   5.9999766400259655e-02   0.0000000000000000e+00   4.1100149925258585e+04  -6.6098108916555759e+01   0.0000000000000000e+00   2.7154153648653760e+05   5.1316221489622205e-06
         107   5.0966816135994667e-09   2.2664706040058241e-09   9.4126834039220689e-05  -1.5125344354872078e-07   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -5.6621378966199491e-06   3.7311845222186584e+01   2.0779739446634335e+02   2.4510923968853137e+02   4.0140843477026109e-02   5.9999759192784607e-02   0.0000000000000000e+00   4.1530136712498395e+04  -6.6735232868845145e+01   0.0000000000000000e+00   2.6920727542989067e+05   5.1462873882619057e-06
