#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
         119   6.4128527665958540e-09   1.1395684066553770e-42   2.7800453241617873e-46   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72
         120   6.5251916536762715e-09   1.1395684066553849e-42   2.7800453241614633e-46   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72
         121   6.6379179767691023e-09   1.1395684066553710e-42   2.7800453241618235e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
         122   6.7510271093470531e-09   1.1395684066553841e-42   2.7800453241615773e-46   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72
         123   6.8645151496641240e-09   1.1395684066553842e-42   2.7800453241616873e-46   1.1398464111877965e-72   1.1398464111877965e-72   1.1398464111877965e-72   1.1398464111877965e-72   1.1398464111877965e-72   1.1398464111877965e-72
         124   6.9783785924456105e-09   1.1395684066553900e-42   2.7800453241615290e-46   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72
         125   7.0926136490131722e-09   1.1395684066553831e-42   2.7800453241614516e-46   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72
         126   7.2072160569303299e-09   1.1395684066553758e-42   2.7800453241615843e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
         127   7.3221809693401932e-09   1.1395684066553821e-42   2.7800453241614956e-46   1.1398464111878063e-72   1.1398464111878063e-72   1.1398464111878063e-72   1.1398464111878063e-72   1.1398464111878063e-72   1.1398464111878063e-72
         128   7.4375031088829145e-09   1.1395684066553890e-42   2.7800453241617274e-46   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72   1.1398464111878048e-72
         129   7.5531782583071197e-09   1.1395684066553815e-42   2.7800453241614684e-46   1.1398464111878058e-72   1.1398464111878058e-72   1.1398464111878058e-72   1.1398464111878058e-72   1.1398464111878058e-72   1.1398464111878058e-72
         130   7.6692034613172455e-09   1.1395684066553874e-42   2.7800453241615975e-46   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72
         131   7.7855769601267927e-09   1.1395684066553823e-42   2.7800453241614625e-46   1.1398464111878110e-72   1.1398464111878110e-72   1.1398464111878110e-72   1.1398464111878110e-72   1.1398464111878110e-72   1.1398464111878110e-72
         132   7.9022971153484097e-09   1.1395684066553834e-42   2.7800453241616811e-46   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72
         133   8.0193618540991044e-09   1.1395684066553898e-42   2.7800453241616866e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
         134   8.1367682581846511e-09   1.1395684066553774e-42   2.7800453241616173e-46   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72
         135   8.2545123854966620e-09   1.1395684066553837e-42   2.7800453241615827e-46   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72   1.1398464111877982e-72
         136   8.3725889211530725e-09   1.1395684066553904e-42   2.7800453241616920e-46   1.1398464111878186e-72   1.1398464111878186e-72   1.1398464111878186e-72   1.1398464111878186e-72   1.1398464111878186e-72   1.1398464111878186e-72
         137   8.4909924611908684e-09   1.1395684066553906e-42   2.7800453241618320e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
         138   8.6097186089100458e-09   1.1395684066553806e-42   2.7800453241616193e-46   1.1398464111878085e-72   1.1398464111878085e-72   1.1398464111878085e-72   1.1398464111878085e-72   1.1398464111878085e-72   1.1398464111878085e-72
         139   8.7287642295052240e-09   1.1395684066553858e-42   2.7800453241617118e-46   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72
         140   8.8481271012066812e-09   1.1395684066553884e-42   2.7800453241618849e-46   1.1398464111878050e-72   1.1398464111878050e-72   1.1398464111878050e-72   1.1398464111878050e-72   1.1398464111878050e-72   1.1398464111878050e-72
         141   8.9678055721058937e-09   1.1395684066553764e-42   2.7800453241617675e-46   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72
         142   9.0877982886954092e-09   1.1395684066553885e-42   2.7800453241614295e-46   1.1398464111877897e-72   1.1398464111877897e-72   1.1398464111877897e-72   1.1398464111877897e-72   1.1398464111877897e-72   1.1398464111877897e-72
         143   9.2081034744399060e-09   1.1395684066553874e-42   2.7800453241616982e-46   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72   1.1398464111878053e-72
         144   9.3287189078109442e-09   1.1395684066553903e-42   2.7800453241617900e-46   1.1398464111878088e-72   1.1398464111878088e-72   1.1398464111878088e-72   1.1398464111878088e-72   1.1398464111878088e-72   1.1398464111878088e-72
         145   9.4496419874855765e-09   1.1395684066553799e-42   2.7800453241617803e-46   1.1398464111878146e-72   1.1398464111878146e-72   1.1398464111878146e-72   1.1398464111878146e-72   1.1398464111878146e-72   1.1398464111878146e-72
         146   9.5708695423403298e-09   1.1395684066553876e-42   2.7800453241616601e-46   1.1398464111877894e-72   1.1398464111877894e-72   1.1398464111877894e-72   1.1398464111877894e-72   1.1398464111877894e-72   1.1398464111877894e-72
         147   9.6923981775069851e-09   1.1395684066553813e-42   2.7800453241617651e-46   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72   1.1398464111877980e-72
         148   9.8142246851749447e-09   1.1395684066553758e-42   2.7800453241619600e-46   1.1398464111878158e-72   1.1398464111878158e-72   1.1398464111878158e-72   1.1398464111878158e-72   1.1398464111878158e-72   1.1398464111878158e-72
         149   9.9363458263581679e-09   1.1395684066553882e-42   2.7800453241618277e-46   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72   1.1398464111878080e-72
         150   1.0000000000000000e-08   1.1395684066553807e-42   2.7800453241615357e-46   1.1398464111878073e-72   1.1398464111878073e-72   1.1398464111878073e-72   1.1398464111878073e-72   1.1398464111878073e-72   1.1398464111878073e-72
