#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
          10   3.9025859778228232e-12   1.1395684066553829e-42   2.7800453241616403e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          11   4.5377138738465514e-12   1.1395684066553828e-42   2.7800453241615940e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          12   5.2363545594726529e-12   1.1395684066553829e-42   2.7800453241616239e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          13   6.0048593136613643e-12   1.1395684066553829e-42   2.7800453241617406e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          14   6.8502145432689474e-12   1.1395684066553829e-42   2.7800453241616309e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          15   7.7801052958372885e-12   1.1395684066553829e-42   2.7800453241616512e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          16   8.8029851236624633e-12   1.1395684066553829e-42   2.7800453241617402e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          17   9.9281529342701557e-12   1.1395684066553829e-42   2.7800453241617025e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          18   1.1165837525938618e-11   1.1395684066553829e-42   2.7800453241615971e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          19   1.2527290576773926e-11   1.1395684066553829e-42   2.7800453241615959e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          20   1.4024888932692766e-11   1.1395684066553829e-42   2.7800453241616041e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          21   1.5672247124203490e-11   1.1395684066553831e-42   2.7800453241616422e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          22   1.7484341134865287e-11   1.1395684066553828e-42   2.7800453241616111e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          23   1.9477644546593262e-11   1.1395684066553829e-42   2.7800453241616119e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
